Genotype,Timepoint,Strain,Diam
Minimal,Evolved,B_1,0.417
Minimal,Evolved,B_1,0.328
Minimal,Evolved,B_1,0.552
Minimal,Evolved,B_1,0.547
Minimal,Evolved,B_1,0.417
Minimal,Evolved,B_1,0.484
Minimal,Evolved,B_1,0.333
Minimal,Evolved,B_1,0.313
Minimal,Evolved,B_1,0.313
Minimal,Evolved,B_1,0.438
Minimal,Evolved,B_1,0.589
Minimal,Evolved,B_1,0.688
Minimal,Evolved,B_1,0.49
Minimal,Evolved,B_1,0.464
Minimal,Evolved,B_1,0.411
Minimal,Evolved,B_1,0.865
Minimal,Evolved,B_1,0.531
Minimal,Evolved,B_1,0.609
Minimal,Evolved,B_1,0.443
Minimal,Evolved,B_1,0.344
Minimal,Evolved,B_1,0.432
Minimal,Evolved,B_1,0.953
Minimal,Evolved,B_1,0.792
Minimal,Evolved,B_1,0.479
Minimal,Evolved,B_1,0.174
Minimal,Evolved,B_1,0.458
Minimal,Evolved,B_1,0.542
Minimal,Evolved,B_1,0.615
Minimal,Evolved,B_1,0.386
Minimal,Evolved,B_1,0.281
Minimal,Evolved,B_1,0.35
Minimal,Evolved,B_1,0.451
Minimal,Evolved,B_1,0.333
Minimal,Evolved,B_1,0.339
Minimal,Evolved,B_1,0.323
Minimal,Evolved,B_1,0.427
Minimal,Evolved,B_1,0.505
Minimal,Evolved,B_1,0.328
Minimal,Evolved,B_1,0.443
Minimal,Evolved,B_1,0.474
Minimal,Evolved,B_1,0.386
Minimal,Evolved,B_1,0.537
Minimal,Evolved,B_1,0.547
Minimal,Evolved,B_1,0.464
Non-minimal,Evolved,s1_1,1.142
Non-minimal,Evolved,s1_1,1.102
Non-minimal,Evolved,s1_1,1.305
Non-minimal,Evolved,s1_1,1.58
Non-minimal,Evolved,s1_1,1.891
Non-minimal,Evolved,s1_1,0.758
Non-minimal,Evolved,s1_1,0.516
Non-minimal,Evolved,s1_1,0.642
Non-minimal,Evolved,s1_1,1.055
Non-minimal,Evolved,s1_1,0.75
Non-minimal,Evolved,s1_1,0.688
Non-minimal,Evolved,s1_1,0.766
Non-minimal,Evolved,s1_1,0.946
Non-minimal,Evolved,s1_1,0.633
Non-minimal,Evolved,s1_1,0.532
Non-minimal,Evolved,s1_1,0.541
Non-minimal,Evolved,s1_1,0.618
Non-minimal,Evolved,s1_1,0.813
Non-minimal,Evolved,s1_1,0.805
Non-minimal,Evolved,s1_1,0.617
Non-minimal,Evolved,s1_1,0.883
Non-minimal,Evolved,s1_1,0.656
Non-minimal,Evolved,s1_1,0.586
Non-minimal,Evolved,s1_1,1.078
Non-minimal,Evolved,s1_1,1.477
Non-minimal,Evolved,s1_1,0.594
Non-minimal,Evolved,s1_1,0.805
Non-minimal,Evolved,s1_1,0.548
Non-minimal,Evolved,s1_1,0.618
Non-minimal,Evolved,s1_1,0.634
Non-minimal,Evolved,s1_1,0.625
Non-minimal,Evolved,s1_1,0.759
Non-minimal,Evolved,s1_1,0.594
Non-minimal,Evolved,s1_1,0.547
Non-minimal,Evolved,s1_1,0.641
Non-minimal,Evolved,s1_1,0.564
Non-minimal,Evolved,s1_1,0.675
Non-minimal,Evolved,s1_1,0.5
Non-minimal,Evolved,s1_1,0.61
Non-minimal,Evolved,s1_1,0.774
Non-minimal,Evolved,s1_1,0.587
Non-minimal,Evolved,s1_1,1.139
Non-minimal,Evolved,s1_1,1.297
Non-minimal,Evolved,s1_1,0.821
Non-minimal,Evolved,s1_1,0.751
Non-minimal,Evolved,s1_1,0.58
Non-minimal,Evolved,s1_1,0.588
Non-minimal,Evolved,s1_1,0.758
Non-minimal,Evolved,s1_1,0.555
Non-minimal,Evolved,s1_1,0.774
Non-minimal,Evolved,s1_1,0.719
Non-minimal,Evolved,s1_1,0.586
Non-minimal,Evolved,s1_1,1.196
Non-minimal,Evolved,s1_1,1.009
Non-minimal,Evolved,s1_1,0.861
Non-minimal,Evolved,s1_1,1.173
Non-minimal,Evolved,s1_1,0.824
Non-minimal,Evolved,s1_1,0.502
Non-minimal,Evolved,s1_1,1.039
Non-minimal,Evolved,s1_1,0.44
Non-minimal,Evolved,s1_1,0.469
Non-minimal,Evolved,s1_1,0.703
Non-minimal,Evolved,s1_1,0.672
Non-minimal,Evolved,s1_1,0.62
Non-minimal,Evolved,s1_1,0.75
Non-minimal,Evolved,s1_1,0.696
Non-minimal,Evolved,s1_1,0.617
Non-minimal,Evolved,s1_1,0.805
Non-minimal,Evolved,s1_1,0.734
Non-minimal,Evolved,s1_1,0.954
Non-minimal,Evolved,s1_1,0.797
Non-minimal,Evolved,s1_1,0.602
Non-minimal,Evolved,s1_1,0.609
Non-minimal,Evolved,s1_1,0.93
Non-minimal,Evolved,s1_1,0.742
Non-minimal,Evolved,s1_1,1.001
Non-minimal,Evolved,s1_1,0.484
Non-minimal,Evolved,s1_1,0.654
Non-minimal,Evolved,s1_1,0.54
Non-minimal,Evolved,s1_1,0.664
Non-minimal,Evolved,s1_1,0.418
Non-minimal,Evolved,s1_1,0.578
Non-minimal,Evolved,s1_1,0.36
Non-minimal,Evolved,s1_1,0.782
Non-minimal,Evolved,s1_1,0.461
Non-minimal,Evolved,s1_1,0.555
Non-minimal,Evolved,s1_1,0.477
Non-minimal,Evolved,s1_1,0.969
Non-minimal,Evolved,s1_1,0.821
Non-minimal,Evolved,s1_1,0.627
Minimal,Evolved,B_5,0.334
Minimal,Evolved,B_5,0.141
Minimal,Evolved,B_5,0.496
Minimal,Evolved,B_5,0.308
Minimal,Evolved,B_5,0.401
Minimal,Evolved,B_5,0.438
Minimal,Evolved,B_5,0.359
Minimal,Evolved,B_5,0.105
Minimal,Evolved,B_5,0.292
Minimal,Evolved,B_5,0.349
Minimal,Evolved,B_5,0.353
Minimal,Evolved,B_5,0.474
Minimal,Evolved,B_5,0.376
Minimal,Evolved,B_5,0.344
Minimal,Evolved,B_5,0.454
Minimal,Evolved,B_5,0.432
Minimal,Evolved,B_5,0.443
Minimal,Evolved,B_5,0.407
Minimal,Evolved,B_5,0.13
Minimal,Evolved,B_5,0.391
Minimal,Evolved,B_5,0.381
Minimal,Evolved,B_5,0.434
Minimal,Evolved,B_5,0.148
Non-minimal,Evolved,s1_6,0.912
Non-minimal,Evolved,s1_6,1.172
Non-minimal,Evolved,s1_6,0.922
Non-minimal,Evolved,s1_6,1.011
Non-minimal,Evolved,s1_6,0.542
Non-minimal,Evolved,s1_6,1.323
Non-minimal,Evolved,s1_6,0.725
Non-minimal,Evolved,s1_6,0.656
Non-minimal,Evolved,s1_6,0.573
Non-minimal,Evolved,s1_6,0.88
Non-minimal,Evolved,s1_6,0.917
Non-minimal,Evolved,s1_6,0.604
Non-minimal,Evolved,s1_6,1.01
Non-minimal,Evolved,s1_6,0.584
Non-minimal,Evolved,s1_6,0.724
Non-minimal,Evolved,s1_6,0.495
Non-minimal,Evolved,s1_6,0.667
Non-minimal,Evolved,s1_6,0.768
Non-minimal,Evolved,s1_6,0.787
Non-minimal,Evolved,s1_6,0.844
Non-minimal,Evolved,s1_6,0.693
Non-minimal,Evolved,s1_6,0.615
Non-minimal,Evolved,s1_6,0.876
Non-minimal,Evolved,s1_6,0.844
Non-minimal,Evolved,s1_6,0.709
Non-minimal,Evolved,s1_6,0.552
Non-minimal,Evolved,s1_6,0.813
Non-minimal,Evolved,s1_6,1.01
Non-minimal,Evolved,s1_6,0.792
Non-minimal,Evolved,s1_6,0.76
Non-minimal,Evolved,s1_6,0.828
Non-minimal,Evolved,s1_6,0.646
Non-minimal,Evolved,s1_6,0.844
Non-minimal,Evolved,s1_6,0.849
Non-minimal,Evolved,s1_6,0.651
Non-minimal,Evolved,s1_6,0.948
Non-minimal,Evolved,s1_6,0.88
Non-minimal,Evolved,s1_6,0.521
Non-minimal,Evolved,s1_6,1
Non-minimal,Evolved,s1_6,0.542
Non-minimal,Evolved,s1_6,0.641
Non-minimal,Evolved,s1_6,0.609
Non-minimal,Evolved,s1_6,0.667
Non-minimal,Evolved,s1_6,0.521
Non-minimal,Evolved,s1_6,0.516
Non-minimal,Evolved,s1_6,0.542
Non-minimal,Evolved,s1_6,0.927
Non-minimal,Evolved,s1_6,0.708
Non-minimal,Evolved,s1_6,0.636
Non-minimal,Evolved,s1_6,0.854
Non-minimal,Evolved,s1_6,0.724
Non-minimal,Evolved,s1_6,0.781
Non-minimal,Evolved,s1_6,0.792
Non-minimal,Evolved,s1_6,0.709
Non-minimal,Evolved,s1_6,0.677
Non-minimal,Evolved,s1_6,0.766
Non-minimal,Evolved,s1_6,0.636
Non-minimal,Evolved,s1_6,0.839
Non-minimal,Evolved,s1_6,0.693
Non-minimal,Evolved,s1_6,0.484
Non-minimal,Evolved,s1_6,0.552
Non-minimal,Evolved,s1_6,0.688
Non-minimal,Evolved,s1_6,0.531
Non-minimal,Evolved,s1_3,0.48
Non-minimal,Evolved,s1_3,0.458
Non-minimal,Evolved,s1_3,0.537
Non-minimal,Evolved,s1_3,0.583
Non-minimal,Evolved,s1_3,0.568
Non-minimal,Evolved,s1_3,0.536
Non-minimal,Evolved,s1_3,0.599
Non-minimal,Evolved,s1_3,0.458
Non-minimal,Evolved,s1_3,0.438
Non-minimal,Evolved,s1_3,0.474
Non-minimal,Evolved,s1_3,0.448
Non-minimal,Evolved,s1_3,0.557
Non-minimal,Evolved,s1_3,0.354
Non-minimal,Evolved,s1_3,0.573
Non-minimal,Evolved,s1_3,0.552
Non-minimal,Evolved,s1_3,0.578
Non-minimal,Evolved,s1_3,0.323
Non-minimal,Evolved,s1_3,0.458
Non-minimal,Evolved,s1_3,0.531
Non-minimal,Evolved,s1_3,0.511
Non-minimal,Evolved,s1_3,0.438
Non-minimal,Evolved,s1_3,0.635
Non-minimal,Evolved,s1_3,0.339
Non-minimal,Evolved,s1_3,0.505
Non-minimal,Evolved,s1_3,1.057
Non-minimal,Evolved,s1_3,0.511
Non-minimal,Evolved,s1_3,0.329
Non-minimal,Evolved,s1_3,0.594
Non-minimal,Evolved,s1_3,0.537
Non-minimal,Evolved,s1_3,0.609
Non-minimal,Evolved,s1_3,0.724
Non-minimal,Evolved,s1_3,0.438
Non-minimal,Evolved,s1_3,0.49
Non-minimal,Evolved,s1_3,0.365
Non-minimal,Evolved,s1_3,0.432
Non-minimal,Evolved,s1_3,0.578
Non-minimal,Evolved,s1_3,0.662
Non-minimal,Evolved,s1_3,0.552
Non-minimal,Evolved,s1_3,0.885
Non-minimal,Evolved,s1_3,0.844
Non-minimal,Evolved,s1_3,0.261
Non-minimal,Evolved,s1_3,0.448
Non-minimal,Evolved,s1_3,0.453
Non-minimal,Evolved,s1_3,0.594
Non-minimal,Evolved,s1_3,0.427
Non-minimal,Evolved,s1_3,0.438
Non-minimal,Evolved,s1_3,0.479
Non-minimal,Evolved,s1_3,0.615
Non-minimal,Evolved,s1_3,0.276
Non-minimal,Evolved,s1_3,0.516
Non-minimal,Evolved,s1_3,0.521
Non-minimal,Evolved,s1_3,0.484
Non-minimal,Evolved,s1_3,0.625
Non-minimal,Evolved,s1_3,0.5
Non-minimal,Evolved,s1_3,0.609
Non-minimal,Evolved,s1_3,0.631
Minimal,Evolved,B_2,0.203
Minimal,Evolved,B_2,0.406
Minimal,Evolved,B_2,0.36
Minimal,Evolved,B_2,0.13
Minimal,Evolved,B_2,0.307
Minimal,Evolved,B_2,0.184
Minimal,Evolved,B_2,0.282
Minimal,Evolved,B_2,0.344
Minimal,Evolved,B_2,0.261
Minimal,Evolved,B_2,0.318
Minimal,Evolved,B_2,0.333
Minimal,Evolved,B_2,0.365
Minimal,Evolved,B_2,0.5
Minimal,Evolved,B_2,0.365
Minimal,Evolved,B_2,0.323
Minimal,Evolved,B_2,0.313
Minimal,Evolved,B_2,0.349
Minimal,Evolved,B_2,0.328
Minimal,Evolved,B_2,0.157
Minimal,Evolved,B_2,0.299
Minimal,Evolved,B_2,0.417
Minimal,Evolved,B_2,0.391
Minimal,Evolved,B_2,0.339
Minimal,Evolved,B_2,0.328
Minimal,Evolved,B_2,0.359
Minimal,Evolved,B_2,0.583
Minimal,Evolved,B_2,0.276
Minimal,Evolved,B_2,0.24
Minimal,Evolved,B_2,0.194
Minimal,Evolved,B_2,0.37
Minimal,Evolved,B_2,0.101
Minimal,Evolved,B_2,0.448
Minimal,Evolved,B_2,0.23
Minimal,Evolved,B_2,0.349
Minimal,Evolved,B_2,0.406
Minimal,Evolved,B_2,0.354
Minimal,Evolved,B_2,0.183
Minimal,Evolved,B_2,0.391
Minimal,Evolved,B_2,0.308
Minimal,Evolved,B_2,0.245
Minimal,Evolved,B_2,0.13
Minimal,Evolved,B_2,0.208
Minimal,Evolved,B_2,0.125
Minimal,Mutant,B_ftsZ,0.312
Minimal,Mutant,B_ftsZ,0.26
Minimal,Mutant,B_ftsZ,0.177
Minimal,Mutant,B_ftsZ,0.312
Minimal,Mutant,B_ftsZ,0.359
Minimal,Mutant,B_ftsZ,0.298
Minimal,Mutant,B_ftsZ,0.396
Minimal,Mutant,B_ftsZ,0.302
Minimal,Mutant,B_ftsZ,0.432
Minimal,Mutant,B_ftsZ,0.234
Minimal,Mutant,B_ftsZ,0.25
Minimal,Mutant,B_ftsZ,0.208
Minimal,Mutant,B_ftsZ,0.245
Minimal,Mutant,B_ftsZ,0.172
Minimal,Mutant,B_ftsZ,0.411
Minimal,Mutant,B_ftsZ,0.297
Minimal,Mutant,B_ftsZ,0.224
Minimal,Mutant,B_ftsZ,0.146
Minimal,Mutant,B_ftsZ,0.132
Minimal,Mutant,B_ftsZ,0.141
Minimal,Mutant,B_ftsZ,0.162
Minimal,Mutant,B_ftsZ,0.307
Minimal,Mutant,B_ftsZ,0.169
Minimal,Mutant,B_ftsZ,0.271
Minimal,Mutant,B_ftsZ,0.167
Minimal,Mutant,B_ftsZ,0.272
Minimal,Mutant,B_ftsZ,0.214
Minimal,Mutant,B_ftsZ,0.125
Minimal,Mutant,B_ftsZ,0.255
