Genotype,Timepoint,Strain,Diameter,Area,Volume,Pixels,Mean,Min,Max
Wildtype,Evolved,s1_3,1.12750998,0.99846,0.750515743,240,2710.392,1911,3724
Wildtype,Evolved,s1_3,0.59573371,0.27873675,0.110701919,67,2765.985,1891,3717
Wildtype,Evolved,s1_3,0.716804365,0.40354425,0.19284152,97,2746.918,2010,3721
Wildtype,Evolved,s1_3,0.773666863,0.47010825,0.24247145,113,2693.92,1970,3724
Wildtype,Evolved,s1_3,0.911936503,0.65315925,0.397093175,157,2785.306,1975,3724
Wildtype,Evolved,s1_3,0.698085613,0.382743,0.178124921,92,2930.315,2148,3717
Wildtype,Evolved,s1_3,0.836183781,0.549153,0.306128555,132,2832.917,1971,3723
Wildtype,Evolved,s1_3,0.780483442,0.47842875,0.248937145,115,2717.574,1892,3712
Wildtype,Evolved,s1_3,1.086843983,0.92773575,0.672202679,223,2546.085,1800,3714
Wildtype,Evolved,s1_3,0.823416867,0.532512,0.292319575,128,2601.969,1828,3572
Wildtype,Evolved,s1_3,0.929198663,0.67812075,0.420072596,163,2499.877,1681,3572
Wildtype,Evolved,s1_3,1.11094545,0.96933825,0.717921279,233,2558.386,1824,3570
Wildtype,Evolved,s1_3,0.77023595,0.465948,0.239259934,112,2739.33,1986,3577
Wildtype,Evolved,s1_3,0.957277443,0.71972325,0.459316555,173,2507.786,1770,3562
Wildtype,Evolved,s1_3,0.742217934,0.432666,0.21408831,104,2682.808,1875,3571
Wildtype,Evolved,s1_3,0.909027608,0.648999,0.393305339,156,2041.667,1698,2372
Wildtype,Evolved,s1_3,0.742217934,0.432666,0.21408831,104,2062.356,1745,2366
Wildtype,Evolved,s1_3,1.180300655,1.09414575,0.860947297,263,2523.452,1599,3579
Wildtype,Evolved,s1_3,0.923480463,0.66980025,0.412364963,161,2795.373,1889,3583
Wildtype,Evolved,s1_3,0.720489758,0.4077045,0.195831278,98,2312.235,1884,2630
Wildtype,Evolved,s1_3,1.268970616,1.264716,1.069924961,304,2573.401,1774,3587
Wildtype,Evolved,s1_3,1.13686707,1.015101,0.7693566,244,2724.422,1985,3575
Wildtype,Evolved,s1_3,1.277291824,1.281357,1.091111213,308,2839.37,2143,3582
Wildtype,Evolved,s1_3,0.94334253,0.698922,0.439548565,168,2555.125,1912,3577
Wildtype,Evolved,s1_3,0.780483442,0.47842875,0.248937145,115,2599.409,1931,3573
Wildtype,Evolved,s1_3,0.897297728,0.632358,0.378275598,152,2780.224,2176,3587
Wildtype,Evolved,s1_3,0.813710238,0.52003125,0.282103168,125,2634.256,1883,3588
Wildtype,Evolved,s1_3,0.823416867,0.532512,0.292319575,128,2620.094,1972,3583
Wildtype,Evolved,s1_3,0.634485308,0.316179,0.13374062,76,2730.171,2029,3539
Wildtype,Evolved,s1_3,0.816958596,0.5241915,0.285495168,126,2601.746,1995,3562
Wildtype,Evolved,s1_3,1.120440883,0.98597925,0.736487641,237,2520.857,1856,3591
Wildtype,Evolved,s1_3,0.879409599,0.6073965,0.356100208,146,2579.397,1793,3580
Wildtype,Evolved,s1_3,0.845632485,0.56163375,0.316623829,135,2754.333,1845,3574
Wildtype,Evolved,s1_3,0.979160897,0.75300525,0.491542197,181,2690.608,1791,3581
Wildtype,Evolved,s1_3,1.013714454,0.8070885,0.545438185,194,2676.211,1848,3586
Wildtype,Evolved,s1_3,1.157644025,1.05254325,0.812313603,253,2622.85,1925,3532
Wildtype,Evolved,s1_3,1.005845918,0.79460775,0.532835308,191,2552.675,1710,3592
Wildtype,Evolved,s1_1,0.777082627,0.4742685,0.245697208,114,2043.588,1540,2612
Wildtype,Evolved,s1_1,1.324124346,1.37704275,1.215583887,331,1852.239,1282,2621
Wildtype,Evolved,s1_1,1.503933771,1.77642675,1.781085454,427,1878.396,1225,2623
Wildtype,Evolved,s1_1,1.328118697,1.38536325,1.22661789,333,1942.06,1331,2623
Wildtype,Evolved,s1_1,1.189242455,1.11078675,0.880663174,267,1877.622,1338,2623
Wildtype,Evolved,s1_1,1.487999944,1.7389845,1.725072559,418,1712.316,1250,2620
Wildtype,Evolved,s1_1,1.519700543,1.813869,1.837691803,436,1773.626,1283,2622
Wildtype,Evolved,s1_1,0.626081158,0.3078585,0.128496271,74,1994.973,1332,2616
Wildtype,Evolved,s1_1,1.148456229,1.03590225,0.793125594,249,1675.494,1204,2623
Wildtype,Evolved,s1_1,1.064686287,0.8902935,0.631922187,214,1722.729,1254,2595
Wildtype,Evolved,s1_1,0.90318171,0.6406785,0.385766069,154,1771.182,1315,2621
Wildtype,Evolved,s1_1,0.608924985,0.2912175,0.118219741,70,2202.957,1648,2611
Wildtype,Evolved,s1_1,1.20911975,1.148229,0.925564241,276,1781.188,1177,2623
Wildtype,Evolved,s1_1,1.256385472,1.2397545,1.038406362,298,1665.903,1160,2623
Wildtype,Evolved,s1_1,1.064686287,0.8902935,0.631922187,214,1709.836,1264,2623
Wildtype,Evolved,s1_1,1.505693787,1.780587,1.787345856,428,1634.252,1156,2613
Wildtype,Evolved,s1_1,1.343977393,1.41864525,1.271084763,341,1703.889,1170,2622
Wildtype,Evolved,s1_1,1.415013795,1.5725745,1.483476408,378,1754.598,1132,2623
Wildtype,Evolved,s1_1,1.081959266,0.91941525,0.6631799,221,1779.154,1231,2601
Wildtype,Evolved,s1_1,0.926343975,0.6739605,0.416212832,162,1831.296,1261,2614
Wildtype,Evolved,s1_1,1.103770269,0.9568575,0.704100574,230,1772.235,1238,2628
Wildtype,Evolved,s1_1,1.00056585,0.78628725,0.524488114,189,1769.116,1208,2618
Wildtype,Evolved,s1_1,1.338052408,1.4061645,1.254347864,338,1806.086,1186,2625
Wildtype,Evolved,s1_1,0.867279231,0.5907555,0.34156665,142,1872.528,1264,2628
Wildtype,Evolved,s1_1,0.957277443,0.71972325,0.459316555,173,1930.035,1350,2623
Wildtype,Evolved,s1_1,1.349876371,1.431126,1.287895447,344,1763.087,1238,2604
Wildtype,Evolved,s1_1,0.720489758,0.4077045,0.195831278,98,1843.276,1265,2594
Wildtype,Evolved,s1_1,1.18701332,1.1066265,0.875720264,266,1752.075,1329,2616
Wildtype,Evolved,s1_1,1.132198192,1.0067805,0.759916708,242,1670.248,1221,2614
Wildtype,Evolved,s1_1,1.166759473,1.06918425,0.831653901,257,1684.214,1238,2621
Wildtype,Evolved,s1_1,0.911936503,0.65315925,0.397093175,157,1837.949,1305,2623
Wildtype,Evolved,s1_1,0.885412465,0.615717,0.363442338,148,1750.899,1229,2629
Wildtype,Evolved,s1_1,1.273138018,1.2730365,1.080500778,306,1688.471,1189,2630
Wildtype,Evolved,s1_1,1.23940651,1.2064725,0.996873247,290,1741.924,1201,2614
Wildtype,Evolved,s1_1,1.338052408,1.4061645,1.254347864,338,1802.775,1287,2638
Wildtype,Evolved,s1_1,1.134535033,1.01094075,0.764631798,243,1890.556,1278,2637
Wildtype,Evolved,s1_1,1.260594481,1.248075,1.048877638,300,1806.793,1322,2637
Wildtype,Evolved,s1_1,1.06219579,0.88613325,0.627498005,213,1893.183,1274,2638
Wildtype,Evolved,s1_1,0.858068925,0.57827475,0.330799729,139,1941.331,1438,2623
Wildtype,Evolved,s1_1,0.810448862,0.515871,0.27872471,124,1828.75,1303,2635
Wildtype,Evolved,s1_1,0.816958596,0.5241915,0.285495168,126,1810.643,1277,2633
Wildtype,Evolved,s1_1,1.359651128,1.45192725,1.316076349,349,1747.315,1175,2638
Wildtype,Evolved,s1_1,1.148456229,1.03590225,0.793125594,249,1859.908,1326,2628
Wildtype,Evolved,s1_1,0.906109373,0.64483875,0.389529624,155,1796.884,1254,2637
Wildtype,Evolved,s1_1,1.175804255,1.08582525,0.8511453,261,1750.529,1204,2630
Wildtype,Evolved,s1_1,1.069649887,0.898614,0.640801576,216,1842.532,1391,2615
Wildtype,Evolved,s1_1,1.198117521,1.12742775,0.900527294,271,1812.424,1298,2635
Wildtype,Evolved,s1_1,1.024111797,0.8237295,0.562394066,198,1717.101,1171,2636
Wildtype,Evolved,s1_1,1.157644025,1.05254325,0.812313603,253,1858.364,1335,2638
Wildtype,Evolved,s1_1,1.09654814,0.94437675,0.690369712,227,1736.674,1203,2633
Wildtype,Evolved,s1_1,1.30396907,1.33544025,1.160915187,321,1676.984,1160,2634
Wildtype,Evolved,s1_1,1.3340878,1.397844,1.243231084,336,1719.536,1180,2631
Wildtype,Evolved,s1_1,1.103770269,0.9568575,0.704100574,230,1812.443,1363,2623
Wildtype,Evolved,s1_1,0.49895767,0.19553175,0.065041378,47,873.83,715,1025
Wildtype,Evolved,s1_1,1.198117521,1.12742775,0.900527294,271,808.339,604,1035
Wildtype,Evolved,s1_1,1.005845918,0.79460775,0.532835308,191,778.812,579,1037
Wildtype,Evolved,s1_1,1.086843983,0.92773575,0.672202679,223,777.35,595,1039
Wildtype,Evolved,s1_1,1.457427501,1.66826025,1.620912245,401,792.209,587,1037
Wildtype,Evolved,s1_1,0.823416867,0.532512,0.292319575,128,796.133,619,1028
Wildtype,Evolved,s1_1,1.484435867,1.730664,1.712706477,416,746.925,540,1036
Wildtype,Evolved,s1_1,0.845632485,0.56163375,0.316623829,135,792,581,1035
Wildtype,Evolved,s1_1,1.297861453,1.3229595,1.144678759,318,701.535,540,1035
Wildtype,Evolved,s1_1,1.411265408,1.564254,1.471718373,376,749.293,531,1039
Wildtype,Evolved,s1_1,1.754295867,2.41710525,2.8268785,581,733.229,533,1036
Wildtype,Evolved,s1_1,1.04205755,0.85285125,0.592480056,205,749.966,589,1039
Wildtype,Evolved,s1_1,1.011098412,0.80292825,0.541226319,193,767.865,594,1039
Wildtype,Evolved,s1_1,1.277291824,1.281357,1.091111213,308,762.107,581,1039
Wildtype,Evolved,s1_1,1.273138018,1.2730365,1.080500778,306,730.873,560,1038
Wildtype,Evolved,s1_6,0.879409599,0.6073965,0.356100208,146,1389.815,914,1866
Wildtype,Evolved,s1_6,1.18701332,1.1066265,0.875720264,266,1276.015,966,1865
Wildtype,Evolved,s1_6,1.122802194,0.9901395,0.741153868,238,1310.937,914,1867
Wildtype,Evolved,s1_6,1.081959266,0.91941525,0.6631799,221,1161.783,878,1619
Wildtype,Evolved,s1_6,1.06219579,0.88613325,0.627498005,213,1223.085,941,1621
Wildtype,Evolved,s1_6,0.981862035,0.7571655,0.495621373,182,1369.066,1156,1619
Wildtype,Evolved,s1_6,1.129856518,1.00262025,0.75521135,241,1141.913,929,1597
Wildtype,Evolved,s1_6,0.937710584,0.6906015,0.431722891,166,1304.94,1018,1618
Wildtype,Evolved,s1_6,0.909027608,0.648999,0.393305339,156,1254.673,1000,1608
Wildtype,Evolved,s1_6,1.122802194,0.9901395,0.741153868,238,1175.672,860,1580
Wildtype,Evolved,s1_6,1.072123069,0.90277425,0.645256733,217,1229.401,969,1578
Wildtype,Evolved,s1_6,1.139194334,1.01926125,0.774091094,245,1140.873,855,1578
Wildtype,Evolved,s1_6,0.842494692,0.5574735,0.31311231,134,1239.03,957,1582
Wildtype,Evolved,s1_6,0.780483442,0.47842875,0.248937145,115,1246.791,994,1558
Wildtype,Evolved,s1_6,0.876392748,0.60323625,0.352447916,145,1186.262,853,1559
Wildtype,Evolved,s1_6,0.98992123,0.76964625,0.507926108,185,1186.984,895,1557
Wildtype,Evolved,s1_6,0.911936503,0.65315925,0.397093175,157,1241.287,1008,1558
Wildtype,Evolved,s1_6,0.926343975,0.6739605,0.416212832,162,1175.167,926,1563
Wildtype,Evolved,s1_6,0.979160897,0.75300525,0.491542197,181,1180.68,906,1557
Wildtype,Evolved,s1_6,0.885412465,0.615717,0.363442338,148,1164.669,918,1562
Wildtype,Evolved,s1_6,1.106167168,0.96101775,0.708697522,231,2352.649,1589,3178
Wildtype,Evolved,s1_6,1.074590559,0.9069345,0.649722168,218,2575.615,1824,3177
Wildtype,Evolved,s1_6,1.157644025,1.05254325,0.812313603,253,2422.897,1541,3169
Wildtype,Evolved,s1_6,1.169027229,1.0733445,0.836512631,258,2255.504,1419,3160
Wildtype,Evolved,s1_6,1.036961883,0.84453075,0.583830798,203,2479.887,1663,3178
Wildtype,Evolved,s1_6,0.973736141,0.74468475,0.483417636,179,2187.698,1529,3140
Wildtype,Evolved,s1_6,1.024111797,0.8237295,0.562394066,198,2445.03,1810,3166
Wildtype,Evolved,s1_6,0.920608044,0.66564,0.408529026,160,2341.869,1648,3177
Wildtype,Evolved,s1_4,0.829824877,0.5408325,0.299197508,130,851.892,673,1021
Wildtype,Evolved,s1_4,0.797269953,0.49923,0.265347386,120,847.967,673,1021
Wildtype,Evolved,s1_4,0.398634976,0.1248075,0.033168423,30,890.133,738,1016
Wildtype,Evolved,s1_4,0.738640959,0.42850575,0.211007932,103,888.117,708,1022
Wildtype,Evolved,s1_4,0.94334253,0.698922,0.439548565,168,811.333,641,1020
Wildtype,Evolved,s1_4,0.984555763,0.76132575,0.49971177,183,882.388,682,1022
Wildtype,Evolved,s1_4,0.829824877,0.5408325,0.299197508,130,911.785,776,1021
Wildtype,Evolved,s1_4,0.909027608,0.648999,0.393305339,156,921.263,769,1022
Wildtype,Evolved,s1_4,0.888398687,0.61987725,0.36713209,149,910.396,736,1022
Wildtype,Evolved,s1_4,0.777082627,0.4742685,0.245697208,114,873.439,712,1021
Wildtype,Evolved,s1_4,0.836183781,0.549153,0.306128555,132,911.303,777,1041
Wildtype,Evolved,s1_4,0.829824877,0.5408325,0.299197508,130,880.877,735,1027
Wildtype,Evolved,s1_4,1.018926388,0.815409,0.553894498,196,812.883,617,1023
Wildtype,Evolved,s1_4,0.738640959,0.42850575,0.211007932,103,849.961,687,1022
Wildtype,Evolved,s1_4,1.081959266,0.91941525,0.6631799,221,860.828,676,1027
Wildtype,Evolved,s1_4,0.960040154,0.7238835,0.463304818,174,860.603,688,1024
Wildtype,Evolved,s1_4,0.906109373,0.64483875,0.389529624,155,872.826,682,1026
Wildtype,Evolved,s1_4,1.06219579,0.88613325,0.627498005,213,835.714,661,1027
Wildtype,Evolved,s1_4,0.89434122,0.62819775,0.374548761,151,901.411,711,1094
Wildtype,Evolved,s1_4,1.228675516,1.18567125,0.97120349,285,880.309,691,1092
Wildtype,Evolved,s1_4,1.120440883,0.98597925,0.736487641,237,871.19,662,1093
Wildtype,Evolved,s1_4,0.70937614,0.39522375,0.186908199,95,1039.642,939,1125
Wildtype,Evolved,s1_4,0.879409599,0.6073965,0.356100208,146,957.267,771,1095
Wildtype,Evolved,s1_4,0.678850903,0.36194175,0.163802989,87,975.218,808,1089
Wildtype,Evolved,s1_4,0.842494692,0.5574735,0.31311231,134,944.731,746,1093
Wildtype,Evolved,s1_4,0.842494692,0.5574735,0.31311231,134,805.284,576,1029
Wildtype,Evolved,s1_4,0.929198663,0.67812075,0.420072596,163,787.215,578,1025
Wildtype,Evolved,s1_4,0.777082627,0.4742685,0.245697208,114,781.64,574,1020
Wildtype,Evolved,s1_4,0.973736141,0.74468475,0.483417636,179,789.453,612,1031
Wildtype,Evolved,s1_4,0.882416136,0.61155675,0.35976503,147,765.259,568,1030
Wildtype,Evolved,s1_4,0.99791534,0.782127,0.520331021,188,814.053,649,1030
Wildtype,Evolved,s1_4,0.91483615,0.6573195,0.400893094,158,814.816,668,1033
Wildtype,Evolved,s1_4,0.826627081,0.53667225,0.295751877,129,769.078,602,1027
Wildtype,Evolved,s1_4,0.482770931,0.183051,0.058914468,44,866.159,696,1028
Wildtype,Evolved,s1_4,1.09654814,0.94437675,0.690369712,227,780.313,629,1030
Wildtype,Evolved,s1_4,0.923480463,0.66980025,0.412364963,161,798.193,622,1028
Wildtype,Evolved,s1_4,0.854976774,0.5741145,0.327236376,138,810.754,628,1027
Wildtype,Evolved,s1_4,1.150760055,1.0400625,0.797908253,250,781.276,570,1032
Wildtype,Ancestor,s1_4,0.577676963,0.26209575,0.100937785,63,819.413,601,1025
Wildtype,Ancestor,s1_anc,0.820194088,0.52835175,0.288900654,127,1392.024,843,2199
Wildtype,Ancestor,s1_anc,0.509463194,0.20385225,0.069236812,49,1220.49,843,1746
Wildtype,Ancestor,s1_anc,0.659055062,0.3411405,0.149886916,82,1088.317,841,1368
Wildtype,Ancestor,s1_anc,0.724156397,0.41186475,0.198836329,99,1120.455,835,1663
Wildtype,Ancestor,s1_anc,0.586774798,0.27041625,0.105782294,65,1218.523,838,1936
Wildtype,Ancestor,s1_anc,0.405224431,0.12896775,0.034840589,31,983.774,833,1159
Wildtype,Ancestor,s1_anc,0.564928259,0.250655063,0.094401419,60.25,1507.187,1111,2188
Wildtype,Ancestor,s1_anc,0.540979633,0.229853813,0.082897487,55.25,2193.05,1618,3424
Wildtype,Ancestor,s1_anc,0.573073886,0.2579355,0.098544066,62,1201.629,836,1692
Wildtype,Ancestor,s1_anc,0.979160897,0.75300525,0.491542197,181,1442.088,835,2391
Wildtype,Ancestor,s1_anc,0.411708433,0.133128,0.036539947,32,1009.953,834,1254
Wildtype,Ancestor,s1_anc,0.295635611,0.068644125,0.013529099,16.5,2009.848,1716,2397
Wildtype,Ancestor,s1_anc,0.371108967,0.1081665,0.026761039,26,1915.077,1645,2221
Wildtype,Ancestor,s1_anc,0.493621071,0.1913715,0.06297667,46,1175.326,912,1536
Wildtype,Ancestor,s1_anc,0.454513804,0.16224975,0.049163167,39,1103.436,908,1314
Wildtype,Ancestor,s1_anc,0.493621071,0.1913715,0.06297667,46,1110.63,842,1526
Wildtype,Ancestor,s1_anc,0.442706232,0.15392925,0.045430292,37,912.784,831,1029
Wildtype,Ancestor,s1_anc,0.549480395,0.23713425,0.086867081,57,1242.684,943,1570
Wildtype,Ancestor,s1_anc,0.49895767,0.19553175,0.065041378,47,2512.617,2224,2826
Wildtype,Ancestor,s1_anc,0.551885135,0.239214375,0.088012572,57.5,1281.73,978,1683
Wildtype,Ancestor,s1_anc,0.51975642,0.21217275,0.073518766,51,1209.392,960,1526
Wildtype,Ancestor,s1_anc,0.544639064,0.232974,0.084591161,56,1060.375,952,1221
Wildtype,Ancestor,s1_anc,0.669026204,0.351541125,0.156793483,84.5,1324.751,945,1866
Wildtype,Ancestor,s1_anc,0.56375499,0.249615,0.093814468,60,1719.325,1452,2051
Wildtype,Ancestor,s1_anc,0.934881888,0.68644125,0.427827661,165,1362.17,698,2258
Wildtype,Ancestor,s1_anc,0.49895767,0.19553175,0.065041378,47,1342.66,909,1740
Wildtype,Ancestor,s1_anc,0.529849719,0.22049325,0.077885524,53,1199.792,953,1526
Wildtype,Ancestor,s1_anc,0.836183781,0.549153,0.306128555,132,1331.015,943,2011
Wildtype,Ancestor,s1_anc,0.579964801,0.264175875,0.102141806,63.5,1250.008,933,1683
Wildtype,Ancestor,s1_anc,0.720489758,0.4077045,0.195831278,98,1411.204,961,2123
Wildtype,Ancestor,s1_anc,0.509463194,0.20385225,0.069236812,49,1141.102,962,1394
